text,language
Hal se lukah aku khe ken me kalak e waktu khut perhatien ku,Alas
let pelajakh en geluh ni adi kase jadi get ate ku ngato se,Alas
"mase SD aku pekhnah juakhe ni bagas kelas, si ni khaseken tentune bahagie,sebab khangtue pe ikut bahagie tebeken hasik belajakh ku",Alas
ni negeri madinah gelem jabaten,Alas
wahe anak ku sultan mahkote medemendak khanas mangan endak mekhase,Alas
kedondong kakhene kendondong e mebue mbuk ne khut taboh isi ne,Alas
yaedi dengan cakhe pot menekhime pendapat sesame ulang menang sendikhi amin pot kakhene de Bagas tim hakhus siap nekhime pendapet,Alas
kae gat kalak di mahani pekhotes begidi sekhik,Alas
Aku jumpe khut sahabat ku awal petawe mengket kuliah iye tekhidah baik sehingge kami nemu mekhimbah soh sendah khut iyeeee,Alas
kane segar dan kane nemu bueh bahanen kite selesaiken dan malot kite males jadine,Alas
si aku lakuken adalah mebagi khut imbang,Alas
pasti ne dengan penuh perjuangan khut pertumpahan darah,Alas
khayakne alat-alat si modren atau canggih ni jaman sendah de sehingge akan lupe khut sejakhar manusia,Alas
menukhut ku dalani adat ne ee kase lestari daerah ne ee,Alas
aku jumpe khut imbang ku sewaktu ni pajak kadang-kadang jumpe tibe-tibe Tampa janjien,Alas
panah senapang ulang lot kurang sangat sombong ne ie menyerang tambur angkaten gendang ni palu medalam to kendin ni mohon sile,Alas
hal terburuk ni dunie Kalak si ikhi dengki khut Kalak si hobi mengadu domba sesame jabu,Alas
"imbang ku bacakh kakhene khajin belajakh khut ukhok muet ate gukhu selain Edi iye ukhok Kane guneken waktu sebaik mungkin guneken ne waktu luang ne pe untuk belajakh,oye untuk melelo",Alas
jadi ame mu mekhate murung ni guhe batu enggo terkurung,Alas
kenangen si paling bukhuk bagi ku ialah wakhi kegagalen ku si mahan aku kecewe khut segale hal,Alas
de iye bual let alasen ne de gedi iye akhus kite,Alas
"menukhut ku, pelajakhen kae si paling bergune ni sekolah mu dan kae alasen ne",Alas
"hal si aku get ate jajan, dan hal si malet get ateku malet me sen",Alas
kae gat kalak di kebiasaen ne kao nemu sangat mengas bane te khut iye gedi,Alas
megeken titah sultan handalen,Alas
malot pas kadang kadang gulene buesu mahan malotntaboh,Alas
"menukhut mu, kae sebab ne gagasan khilafah menuai kontroversi ni Indonesia",Alas
jelasken wakhi si sempukne tebeken dikhi mu,Alas
malet kae pe pikekhen ku tenang kukap geluh ku pe,Alas
kau lah di khut tuhan ne aku tekhe ale mew gedu kau lah di kau masih kekasihku gedu mahan kae,Alas
Anak-anak get ngato film kartun kekhene nia adi cakhite ne menakhik bagi anak anak dan ni film di ni cidahken pemeran-pemeran unik,Alas
hobi ku ielah membace buku setiap pagi minimal 10 lembar ku bace dan bebongi 10 lembar ku bace edi me kegiaten ku si jakhang ni lakuken kalak lain,Alas
memenuhi kewajibene mekhe kbutuhkhe istrine ni khumah,Alas
cinte tulus jadiken negekhi aman dan jadi ken kite saling setie,Alas
ise jeme si Kao egeti ni dunie kae mahanse nemu terkhjadi,Alas
mecekhok ne sopan Nemu menghargai Kalak lain hobi bantu Kalak lain khut Ndak sombong walo pe iye Kalak bayak,Alas
cekhiteken oengalamen si bekhkesan atope si bekhmakne si kao miliki sendah ende saat sedang bekhintkhaksi khut kalak lain atope adat budaye atope alatakh belakang kalak si mebede edi,Alas
kau lah si kune di Indonesia kite nde die akhi me to life style yang,Alas
segijab nakhi hampir go sampe berong khut gosing rupe kerape tambur angkaten bunyi mederam padang karbale rase ne karem,Alas
cekhitekan hal kae pelin si ngo bentuk geluh mu,Alas
"menukhut mu kae edi IQ ( Intelligence quitient) atau pe kecerdasen intelektual, menukhut mu kune penting ne hal edi",Alas
kau tanyak bangku ?,Alas
menukhut ku hal si Nemu mempekhsatuken Indonesia yaitu dengan cakhe saling menghargai sesame,Alas
menukhut ku cinte khut kasih sayang ee penting ni geluh ku kahene melalui kasih sayang khut cintee edi mahan se kalak masih bante,Alas
hal- hal kae si ingin kao tingkatken tentanh dikhie mu,Alas
"si hal ndak memungkinken ee memang pemikekhen si biase ni bagas sifat jame,akan tekhjadi ne sesuatu si mlt ni hakhapken e",Alas
pecaye atas dirikhu bahwa aku mu jadi kalak hebat lebih dakhi si kalak pikikhen,Alas
ndak so ge cekhok kalak si nda perlu kite ge,Alas
pas Mase Mae kumpul khut keluakhge mangan khut khut,Alas
aku tidak tau kakhene aku malet ngerti v kae si kenin tanyaken,Alas
"Padang pas waktu khaun-khaun bongi ge,khut buah buahan anggur",Alas
"si ku khaseken sendah nde sangat taboh, te kale hp khussak susah ni pilasin te sendah go hayak alat ne go taboh me",Alas
de ngo aku tangi nate ku lot si mekhe sen kase ndak tangis aku nange,Alas
menurut kau mangape Sampek hapus dikperbuet untuk membersih Ken Indonesia kite de,Alas
cakhe ku mewujudken impien ku bekh doe khut bekhusahe kakhene te bekhusahe plin kite tanpe ni ikhingi doe malet berkah kae si kite dapet e,Alas
mbu e hal si ku lamun ken kakhe ne nggo mbue su malet nange ku inget pe,Alas
Lemah segale sendi anggote ne Hampir lah putus tali juwite Ni minum Hasan usul perwire Made nae hambe panjang cerite,Alas
film paling get ate ku film India te khami cekhiteken peran ne pe su,Alas
cube jelas ken kune penjajahen mempengaruhi Indonesia,Alas
atur waktu dengan teliti dan lihat kondisi kite,Alas
obama sukses cetak sejakhah bakhu khut gaye pemimpin ne luakh biase denoh khat khakyat,Alas
nggo kewajiben ku sebab let Kane cIte cite cite ni gapai,Alas
ku khase khoh canggih ne sedang sendah v go lot lot plin kidah,Alas
Ni sembakh ken kabar tebe raje ne sorte pule dengen kude ne entah de dape ke lausen ne kadang pe ni lindungi oleh tuhane,Alas
cakhene basuh pingan cemakh khut sabun cuci pingan dan basuh khut lawe bosih,Alas
niyat mejile tapi kha jeki molot,Alas
"hal si ku sukai ni Indonesia sebab Indonesia pulau mejile, mebue hasil pertanian khut mpus ne pe,jeme ne mejile-mejile,negakhe ne pe daulat walaupe me bede tapi tetap besatu",Alas
hal aneh ni dikhiku medalan sade bage kalak gile,Alas
si ku lalui nggo te aku pul lajang-lajang ku inget-inget gat kae si kami laluiee kane kan menjadi sebuah kenangen mejile,Alas
"aku khut pak'e ku pe ndak wayang leket ne da edi pe nggo bage imbang ku bahan, te side pe masih bangku",Alas
dengan cakhe sabakh menuntaskan masalah si kite hadapi,Alas
"si get ate ku mengenai budaye ku,petame pelebat, pemamanen,ngekhane,,kenin pe da bue ne pertanyaen kenin bangku akh",Alas
adat ni tanoh alasnde edime salah satune pemamanen,Alas
khajinniye bhelajar khut baik sopan pekhange ne kudhah,Alas
Alhamdulillah wakhi nde baik baik plin mu tong ni kheken kesempaten geluh bahagie,Alas
menukhut mu kae pelin hal si macik ne si mungkin terjadi ni bulan nde,Alas
setelah selesai adat perkawinan sesudah mekhaleng dan nakhuh,Alas
kakhne le kane kudah gat tuhu cekhite a pe,Alas
"de adat kami nde luakh biase khabut ne, hoye khoh mu ato kalak, kae kado khut pige pelawatmu edi sendah si ato kalak",Alas
hahaha aku v lucu kukap jawaben ku nde v kakhenne bahanen Tawe yah,Alas
"kune cakhe mu nebut ken se uwe, ni suatu kas atau hal si kamu nangat",Alas
sebelah tangan aku habisi,Alas
cekhite tekhbaik dakhi sekolah ku adalah didape aku mendapatken prestasi didepan khang tue ku dan mendapatken penghakhgaan oleh gukhu ku edi me cekhite tekhbaik ku dakhi sekolah ku die,Alas
saat Kalak malet menghargai ku Edi Ndak wayang mutang ne ate ku ngidah se,Alas
kae kae plin si get ate mu ni saat kamu jengeng,Alas
kunci petame ne lot sen te kedue bakhang ne Mende bakhu kite tukokh,Alas
hendak buwet ken segere cepat,Alas
perbedaan khut adat lain ngo pasti let karena setiap budaye pasti let perbedaan,Alas
