,Unnamed: 0,text,language
0,0,cekhite ken hal kae pelin si bentuk geluh mu ,Alas
1,1,khencane ken kae si sikel kite tukokh,Alas
2,2,karena lot masalah,Alas
3,3,laus me kas wisata,Alas
4,4,malot mesatu,Alas
5,5,uwap lawe nangkih,Alas
6,6,Males belajakh,Alas
7,7,"jatuh cinta, bahagie",Alas
8,8,salam paham,Alas
9,9,parakh kidah,Alas
10,10,kune kasene biyakh e,Alas
11,11,"menukhut ndu, kae hal macik si mu tekhjadi",Alas
12,12,"gakhami kegiaten positif, atope bahan kesibuken sendikhi",Alas
13,13,gembikhe kas kalak khami,Alas
14,14,"menukhutmu, kae pelin hal si bahan kandu bede diantakhe kalak lain",Alas
15,15,"ketekhe mungkin,kune cakhemu keliling dunie",Alas
16,16,tahat Ate ,Alas
17,17,malet sesue ekhut pendapet ,Alas
18,18,aman ,Alas
19,19,cinta,Alas
20,20,jelasken wakhi si sempurna me kandu,Alas
21,21,pekerjaan telah selesai dilakukan,Alas
22,22,kalak lain,Alas
23,23,makaipe,Alas
24,24,menukhut ndu kune kabakh kekhine imbang mu sendah,Alas
25,25,kehidupan,Alas
26,26,sial,Alas
27,27,Alasene kakhene nangat medem,Alas
28,28,impien ku sendah nde imrohken khang tue ku,Alas
29,29,melalui sistem,Alas
30,30,kakhene khang tue nggo belin ken kite ,Alas
31,31,uwe,Alas
32,32,kakhene let hal lucu ni alami ne,Alas
33,33,biasa aja,Alas
34,34,"laus me mpus, lajang me ketambe",Alas
35,35,malot kae pe,Alas
36,36,dane desa,Alas
37,37,cakhene mesungguh sungguh belajakh ,Alas
38,38,laus lajang,Alas
39,39,bace buku,Alas
40,40,adat budaye Ne ,Alas
41,41,bantu kalak e tanya i kae si ni poluken,Alas
42,42,"atoi be, bakhu pahami",Alas
43,43,"nikahen sehakhusne Edi hakhus khesmi agama atope negakhe, ",Alas
44,44,menukhutku pet tetawe Sade khut mecekhok sade,Alas
45,45,hakhus Lot dasakh cinte ,Alas
46,46,mangan kueh,Alas
47,47,kakhene Jujukh ,Alas
48,48,Cukup aman-aman plin,Alas
49,49,dapet juakhe kelas,Alas
50,50,hal si paling menakhik minat ku Edi melelo bola,Alas
51,51,"menukhutmu,kae pelin si hakhus nisiapken sebelum pensiun",Alas
52,52,ulang pebual bagas khumah tangge,Alas
53,53,"menukhut kandu,kae pelin si nibutuhken sebelum pensiun",Alas
54,54,Mase depan paling cekhah,Alas
55,55,bahase alas,Alas
56,56,saling membantu ,Alas
57,57,khakhene penting untuk ni lakuken,Alas
58,58,saling memberikan pendapat ,Alas
59,59,mek ku tong sehat plin ,Alas
60,60,seperti harapan dan keinginan saya,Alas
61,61,karene jujukh edi sangat penting,Alas
62,62,kakhene Ni bagas kejujukhen Lot ketenange ni dikhi kite,Alas
63,63,ketenangan Bagas geluh nde ,Alas
64,64,"ge ken,dan usaheken kae pe si ni kritik",Alas
65,65,atak aja,Alas
66,66,membace,Alas
67,67,get ne ateku,Alas
68,68,"ibadah,panganen,dan hubungen",Alas
69,69,bage Kalak luakh negekhi e ,Alas
70,70,maso sibuk,Alas
71,71,medem,Alas
72,72,pekhatien bane,Alas
73,73,kakhene iye khajin belajakh,Alas
74,74,tetap mepikekhen positif,Alas
75,75,hal kae plin mengganggumu,Alas
76,76,kae pelit hal yang membuat  kandu mengse  pang,Alas
77,77,"menukhutmu,kae pelin si kau butuh pekhsiap ken sebelum pensiun",Alas
78,78,mendapetken kemudahen dalam hal kae pe,Alas
79,79,kae pelit saja yang paling kandu nangat  khamah  mu,Alas
80,80,"dokho,kakhene uwak ku e okhang tue ku",Alas
81,81,lakhi lakhi khut imbang imbang ,Alas
82,82,ukhok nayukh,Alas
83,83,Cekhiteken kejadien sipaling memeleken ni bagas geluh mu,Alas
84,84,kesehaten khut kajeki,Alas
85,85,mbue,Alas
86,86,dabuh mehonda,Alas
87,87,jujukh,Alas
88,88,kakhene khami khami,Alas
89,89,"bahasa indonesia sangat penting dlm kehidupan sehari,,",Alas
90,90,"kenalken diri, ",Alas
91,91,pemales khut ikut campukh,Alas
92,92,"kae mampu, kae let bangku",Alas
93,93,ku ne cakhene kao nyeleseiken masalah,Alas
94,94,cekhiteken tentang tekhedisi keluakhgemu,Alas
95,95,melelo khut khidi,Alas
96,96,Culas khut penduste,Alas
97,97,kae pelit mejile  kalak lain pengurus khumah tangge yang mantap ,Alas
98,98,kae kesan kandu khut   aplikasi  de,Alas
99,99,kae jeme dapet tangis sedih ne,Alas
100,100,malet mesalah,Alas
101,101,"menukhutmu, kae plin baik akhi dunie?",Alas
102,102,kenangen kae plin yang paling bukhuk yang penah kau alami ,Alas
103,103,kae pe mu kau bahani asal kau senang mbelajakhi bahase lain ,Alas
104,104,kae keluarge penting untukmu? kae ngat gedi,Alas
105,105,kae plin yang dapet bahanmu kecewe ,Alas
106,106,kae plin yang kau sanggati akhi pasangenmu,Alas
107,107,kae mahan kau senangken dikhi?,Alas
108,108,kae plin ulah mu si kau munyanggi dikhimu,Alas
109,109,dape akhi kite senine?,Alas
110,110,kakhene sampah sifatne bau khut cemak jadi hakhus ni kelole kane ndak menumpuk,Alas
111,111,keluarge khut kesehaten,Alas
112,112,"si kutayaken kune keadaan mu, nangat man kae kokhmu",Alas
113,113,let masalah,Alas
114,114,sehat plin,Alas
115,115,salah malet mu sebab rahasie,Alas
116,116,jelasken sejakhah kegelukhenmu,Alas
117,117,kae pelin hal si kao get bahani khut imbang-imbang mu,Alas
118,118,kae pelin kenangen si mahan kao bahagie?,Alas
119,119,suakhe-suakhe bage kae si malet kao getti?,Alas
120,120,kae pelin khencane mu tentang hubungen mu khut pasangan mu,Alas
121,121,menurut mu kae  gat pot membace ni indonesia kelok khendah ne,Alas
122,122,makai dalani,Alas
123,123,"kane ukhok kaepe,  kane bacakh,  kane pintekh",Alas
124,124,"si kenangen palin mekesan bagas ngelukhku khyaka khalihen,  khut pemilihan dutawisata,  pramuka me luakh daerah,  khut festival payung,  khut lomba-lomba, khut ateletik bage lempar lembing,  tolak peluru, renang",Alas
125,125,khut lomba renang,Alas
126,126,"nis sayang, ni perhatiken,  nimasihi",Alas
127,127,ngati ngechat anak khalak lewat wa khut fb,Alas
128,128,tentang keluarga dan aib kite,Alas
129,129,penting kalihen,Alas
130,130,sedih lua biase,Alas
131,131,medem khut sepuk,Alas
132,132,ape me kutoh,Alas
133,133,bayak,Alas
134,134,"Menurut kamu, Pelajakhen kae si paling megune ni sekolah dan kae sebabne?",Alas
135,135,kae kalak di tawe?,Alas
136,136,"bue si kulakuken, ngopi khut imbang,  lajang,  gakham khajeki",Alas
137,137,berjuang ni titi paling tekhuh ketike kite malot lot kaepe,Alas
138,138,"mimpi si mejileni, mimpi jadi kebangaen negara khut agame",Alas
139,139,pola pikir mencerminken kedewasaen,Alas
140,140,kebahagiaen khoh kane kite selalu bersyukur dengan si kite miliki,Alas
141,141,"perbaikin dikhi tutukh kate,  bahase khut keperibadien kite sewakhi-wakhi",Alas
142,142,bosih khut aman,Alas
143,143,makai pe,Alas
144,144,kalak susah kakhene menolong,Alas
145,145,jujukh,Alas
146,146,tentang ilmu,Alas
147,147,malet,Alas
148,148,cekhiteken tentang milikmu si paling berharga,Alas
149,149,kae plin si bahan kau mekhase ni cinte i,Alas
150,150,"ketike kao mahanse sebuah gue ni deleng,cekhite ken ketekhe gue dih sebut",Alas
151,151,"kikhe kikhe,kae pelin kelakuen pasangenmu si bahanse kao mekhase malet nyaman",Alas
152,152,ketekhe kao tunjuken me ise jeme ne bahwe kao peduli,Alas
153,153,"ketike kao menggabakh pake en ,bage kae bentuk ne",Alas
154,154,"ketike jumpe khut imbang khasene atepe tenang, bahagie, nemu kite melelo khut-khut",Alas
155,155,akan ku ubah cakhe pendidiken ni keluagku dan meningkatken pengetahuen tentang agame,Alas
156,156,"khe magan,  jage kebersihen khe vitamin",Alas
157,157,nanggat laus umbroh tapi mangge lot khejeki,Alas
158,158,dengan di guneken manusia,Alas
159,159,"aku seorang duta,  atelet,  guru,  palatih ateletik dan aku pemandu wisata ni ketambe gunung leuser",Alas
160,160,ketekhe kau dapet bahan dikhi mu mekembang,Alas
161,161,kae pendapet kau tentang hubungen si sehat,Alas
162,162,"dape si lebih penting menukhut mu,hubungen khut imbang ato pasangen?ketekhe begedi ",Alas
163,163,hal kae pelin si kau senangi tetang jadu jeme anak bekhu /anak laki,Alas
164,164,ketekhe pendapet mu tentang hak jeme laki,Alas
165,165,kae pelin hal si bahanse kau mekhase berenergi,Alas
166,166,"ketike kah jadi poto graper,hal kae pelin si kao akan potokense",Alas
167,167,"ketike kau diberade bagas sebuah pilem,begedi kae bahan mu",Alas
168,168,"te nemu toh ketekhe kau bakal nadingken,kae pelin kau pot ,ketekhe",Alas
169,169,ketekhe cakhe ne belinse anak anaak,Alas
170,170,cekhite ken pengalamen mu wakhi de,Alas
171,171,ape me kutoh.. lain jeme lain hobine,Alas
172,172,lemes,Alas
173,173,disiplin,Alas
174,174,biase plin,Alas
175,175,malet pante kas kami,Alas
176,176,malet kae pe,Alas
177,177,malet banjekh,Alas
178,178,minat plin,Alas
179,179,uso.. mis,Alas
180,180,ibu.. kane segalene,Alas
181,181,malet kae pe,Alas
182,182,malet kae pe,Alas
183,183,malet kae pe,Alas
184,184,let segalene,Alas
185,185,malet  guru favoritki,Alas
186,186,sui ate,Alas
187,187,lajang,Alas
188,188,kane ndak bosan,Alas
189,189,malet jelasnge,Alas
190,190,kae die,Alas
191,191,mudah,Alas
192,192,biase plin,Alas
193,193,tetap bahani,Alas
194,194,makai pe,Alas
195,195,mudah,Alas
196,196,malet kutoh,Alas
197,197,sedap khasene,Alas
198,198,malet,Alas
199,199,anak,Alas
200,200,malet pas nae,Alas
201,201,malet adil,Alas
202,202,nelpon pasangan orang,Alas
203,203,lucu,Alas
204,204,bual,Alas
205,205,jumpe mantan go kawin,Alas
206,206,malet yakin pung kalak,Alas
207,207,makai pe,Alas
208,208,nabung,Alas
209,209,ketekhe pendapetmu tentang tanggung jawab bekhu,Alas
210,210,kae plin si pot kau lakuken dokho liburen,Alas
211,211,sedih,Alas
212,212,Kae cekhite mende dakhi sekolah atope kas mebahan,Alas
213,213,Kakhene lucu,Alas
214,214,aku nanggat jadi khalak megune,Alas
215,215,Libukhen laus me taman nasional gunung leuser,Alas
216,216,"wisatane,  adatne,  makanene,  jemene,  budayene",Alas
217,217,libukhen me deleng,Alas
218,218,sayukh ikan mas khut acem,Alas
219,219,tarien landok alun,Alas
220,220,kane iye mekhase malet pas khut keputusen khalak,Alas
221,221,"menonjolken dikhi,  aku nangat jadi pemandu tour",Alas
222,222,"jage kesehaten, atukh pola meden, mangan sehat",Alas
223,223,mantap plin asalken positif,Alas
224,224,"jinto pesawat,  jinto bus,  melekheng, atupe gat joging",Alas
225,225,"hate,  tahte,  nakhu dan ibadah lancakh",Alas
226,226,"peluken hanyat iye akhi,  perhatiene,  sikapne",Alas
227,227,khajin belajakh,Alas
228,228,nampang malot kidah lot diskone,Alas
229,229,usaha dan sabar,Alas
230,230,mejawab,Alas
231,231,kane go jenuh,Alas
232,232,mepekhasaen,Alas
233,233,ni bahani,Alas
234,234,absen,Alas
235,235,aman tapi lengang,Alas
236,236,malet tandai,Alas
237,237,khami,Alas
238,238,"Aah, ha, oh, baru saja melewati atas kepala saya, oh, saya tidak tahu, begitu dekat. 0",Indonesian
239,239,"Absolusi pribadi harus dipertahankan dalam gereja-gereja, kendati dalam pengakuan dosa tidak perlu menyebutkan semua dosa satu per satu.3",Indonesian
240,240,Absquatulate adalah sebuah kata yang baik dalam bahasa Inggris.0,Indonesian
241,241,"Abu Bakrah ruku sebelum sampai di saf, sambil berjalan menuju saf.""1",Indonesian
242,242,"Acara ini berlangsung sampai jam lima sore ini ya, pungkas dia.1",Indonesian
243,243,"Acara ini dapat menjadi sarana bagi Taspen untuk memperoleh masukan dari berbagai kalangan mengenai peningkatan kualitas Laporan Tahunan Perusahaan, tulis manajemen dalam keterangan resminya.1",Indonesian
244,244,"Acara ini juga ketika diadakan menggunakan informasi yang menyesatkan, kontroversi untuk menarik perhatian, ujarnya.1",Indonesian
245,245,"Acara ini kami adakan di outdoor parkiran hotel, tandasnya.1",Indonesian
246,246,"Acara ini karena masih banyak sekali mahasiswa yang salah pilih ambil jurusan, bahkan terjadi setelah lulus, ternyata jurusan yang diambil tidak sesuai dengan minat dan bakat yang dimiliki, imbuhnya.1",Indonesian
247,247,"Acara ini merupakan inisiatif kami dengan Likee untuk menciptakan dampak lebih terhadap isu-isu sosial dan kami saling kerja sama untuk menyukseskan acara ini, kata Hendro Talenta, Program Director of Ecotransport dari Ecotransport.1",Indonesian
248,248,"Acara ini sangat spesial, terlebih bagi warga disini.1",Indonesian
249,249,"Achilles adalah orang yang bisa merubah sejarah, manusia dengan takdir, dan kamu harus menjadi seperti ini, Aleksander.0",Indonesian
250,250,"Ada improve"" korupsi dan kemudahan berbisnis juga membaik,"" ucapnya.1",Indonesian
251,251,"Ada 3 poin isi dari Deklarasi Damai yang dilakukan oleh Calon Kepala Desa di 4 Desa yang yang menyelengarakan Pilkades serentak di Kecamatan Mandor ini, ucap Kapolsek.1",Indonesian
252,252,"Ada 8 barang bukti yang disita, ada seprei, bantal dengan bercak darah, botol minuman keras cap tikus satu dan sachet apronio, ungkap Arman.1",Indonesian
253,253,"Ada anak kembar, kata Nia.1",Indonesian
254,254,"Ada anak-anak, keluarga, ada adik-adik berkumpul di situ semua, kata dia lebih lanjut.1",Indonesian
255,255,"Ada antusiasme yang meningkat atas kesepakatan perdagangan, karena kemajuan sedang dibuat dalam pembicaraan ini, kata kepala ekonom pasar di Spartan Capital Securities Peter Cardillo di New York.1",Indonesian
